timestamp_sec,command_linear_mps,command_angular_radps,left_target_radps,right_target_radps,left_feedback_radps,right_feedback_radps,encoder_left_ticks,encoder_right_ticks,imu_yaw_rad,phase_id,segment,trial_id,request_timestamp_sec,requested_linear_mps,requested_angular_radps,left_feedback_mps,right_feedback_mps,imu_angular_z_radps,imu_bias_corrected_radps,odom_linear_mps,odom_angular_radps,odom_yaw_rad,mcu_sample_age_sec,mcu_interarrival_sec,move_sample_age_sec,imu_sample_age_sec,odom_sample_age_sec,wifi_ok,agent_ok,imu_ok,encoder_ok,motor_driver_ok,cmd_timeout_ok,e_stop_active,mcu_ok,fault_bits,jetson_fault_bits,imu_bias_estimate_radps,event_code,event_message
0.035230245999628096,0.0,0.0,0.0,0.0,1.25181130726696e-35,-1.1900822882254482e-35,136,424,0.0,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,4.005796183254272e-37,-3.808263322321434e-37,0.021421996876597404,0.021421996876597404,0.0,0.0,0.4136194060118754,0.0,0.062035038999965764,0.03977960200063535,0.019868821000272874,0.06181125300099666,1,1,1,1,1,0,0,1,0,0,0.0,,
0.09281361399916932,0.0,0.0,0.0,0.0,8.136773357105393e-36,-7.735534663270643e-36,136,424,0.001679461273713245,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,2.603767474273726e-37,-2.475371092246606e-37,0.02941587194800377,0.02941587194800377,0.0,0.0,0.4136194060118754,0.0,0.057583367999541224,0.03072144600082538,0.015129843999602599,0.0573868939991371,1,1,1,1,1,0,0,1,0,0,0.0,,
0.14400561599904904,0.0,0.0,0.0,0.0,5.288902577021121e-36,-5.028097461060995e-36,136,424,0.002918923258077888,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,1.6924488246467587e-37,-1.6089911875395184e-37,0.01209581084549427,0.01209581084549427,0.0,0.0,0.4136194060118754,0.0,0.05119200199987972,0.015153340000324533,0.01161748899903614,0.05092914200031373,1,1,1,1,1,0,0,1,0,0,0.0,,
0.19969580599899928,0.0,0.0,0.0,0.0,3.4377866049988053e-36,-3.2682634723032623e-36,136,424,0.0037921155920679836,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,1.1000917135996177e-37,-1.045844311137044e-37,0.006766561884433031,0.006766561884433031,0.0,0.0,0.4136194060118754,0.0,0.055690189999950235,0.003781276000154321,0.0035078769997198833,0.055503555999166565,1,1,1,1,1,0,0,1,0,0,0.0,,
0.2527894719987671,0.0,0.0,0.0,0.0,2.234561328281685e-36,-2.1243712745133513e-36,136,424,0.004949866229269871,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,7.150596250501392e-38,-6.797988078442724e-38,0.030481722205877304,0.030481722205877304,0.0,0.0,0.4136194060118754,0.0,0.053093665999767836,0.05687494199992216,0.004093900999578182,0.052872324999043485,1,1,1,1,1,0,0,1,0,0,0.0,,
0.31008552399907785,0.0,0.0,0.0,0.0,1.4524648633830953e-36,-1.3808413459499092e-36,136,424,0.00652105773114458,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,4.647887562825905e-38,-4.4186923070397093e-38,0.018757373094558716,0.018757373094558716,0.0,0.0,0.4136194060118754,0.0,0.05729605200031074,0.04793489099938597,0.0021299079999153037,0.057114617999104667,1,1,1,1,1,0,0,1,0,0,0.0,,
0.3636318189983285,0.0,0.0,0.0,0.0,9.441021568199542e-37,-8.975469055208449e-37,136,424,0.007439920000903458,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,3.0211269018238536e-38,-2.8721500976667036e-38,0.014760437421500683,0.014760437421500683,0.0,0.0,0.4136194060118754,0.0,0.053546294999250676,0.034829733998776646,0.004905211999357562,0.05317702299907978,1,1,1,1,1,0,0,1,0,0,0.0,,
0.44438137599900074,0.0,0.0,0.0,0.0,6.1366638879579716e-37,-5.834054798304338e-37,136,424,0.00864853192777536,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,1.963732444146551e-38,-1.866897535457388e-38,0.01422751136124134,0.01422751136124134,0.0,0.0,0.4136194060118754,0.0,0.08074955700067221,0.04886596100004681,0.002267570000185515,0.0804960650002613,1,1,1,1,1,0,0,1,0,0,0.0,,
0.5126108969998313,0.0,0.0,0.0,0.0,3.98883154906797e-37,-3.7921356626883965e-37,136,424,0.009658489904108234,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,1.2764260957017504e-38,-1.2134834120602869e-38,0.01689213514328003,0.01689213514328003,0.0,0.0,0.4136194060118754,0.0,0.06822952100083057,0.05039728100018692,0.003983971000707243,0.06804520100013178,1,1,1,1,1,0,0,1,0,0,0.0,,
0.563480314998742,0.0,0.0,0.0,0.0,2.5927406601612e-37,-2.4648883778050542e-37,136,424,0.010192297820469895,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,8.29677011251584e-39,-7.887642808976174e-39,0.009964111261069775,0.009964111261069775,0.0,0.0,0.4136194060118754,0.0,0.05086941799891065,0.034644802999537205,0.0037153109988139477,0.05069723099950352,1,1,1,1,1,0,0,1,0,0,0.0,,
0.6278333879999991,0.0,0.0,0.0,0.0,1.6852812320471835e-37,-1.6021776645261703e-37,136,424,0.011274304906354322,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,5.392899942550987e-39,-5.126968526483745e-39,0.02115553617477417,0.02115553617477417,0.0,0.0,0.4136194060118754,0.0,0.06435307300125714,0.03231964400038123,0.00846783300039533,0.06389035400025023,1,1,1,1,1,0,0,1,0,0,0.0,,
0.7144175409994205,0.0,0.0,0.0,0.0,1.0954326694589382e-37,-1.0414156789996072e-37,136,424,0.013031885437473353,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,3.5053845422686023e-39,-3.332530172798743e-39,0.01555982418358326,0.01555982418358326,0.0,0.0,0.4136194060118754,0.0,0.08658415299942135,0.05230405300062557,0.014064959999814164,0.08622622199982288,1,1,1,1,1,0,0,1,0,0,0.0,,
0.7378339239985507,0.0,0.0,0.0,0.0,7.120312789388869e-38,-6.769199942921482e-38,136,424,0.013360546127454175,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,2.278500092604438e-39,-2.166143981734874e-39,0.011296424083411694,0.011296424083411694,0.0,0.0,0.4136194060118754,0.0,0.023416382999130292,0.008718989998669713,0.0006327920000330778,0.02319442099906155,1,1,1,1,1,0,0,1,0,0,0.0,,
0.7935026529994502,0.0,0.0,0.0,0.0,4.628204188914305e-38,-4.3999808387105033e-38,136,424,0.014071057188349558,A0,zero,A0-1,2.9736998840235174e-05,0.0,0.0,1.4810253404525775e-39,-1.407993868387361e-39,0.02461954765021801,0.02461954765021801,0.0,0.0,0.4136194060118754,0.0,0.055668729000899475,0.06438771899956919,0.001170625000668224,0.05549300500024401,1,1,1,1,1,0,0,1,0,0,0.0,,
