observation_0,observation_1,observation_2,observation_3,observation_4,observation_5,observation_6,observation_7,observation_8,observation_9,observation_10,observation_11,observation_12,observation_13,observation_14,observation_15,observation_16,observation_17,observation_18,observation_19,observation_20,observation_21,observation_22,observation_23,observation_24,observation_25,observation_26,observation_27,observation_28,observation_29,observation_30,observation_31,observation_32,observation_33,observation_34,observation_35,observation_36,observation_37,observation_38,observation_39,observation_40,observation_41,observation_42,observation_43,observation_44,observation_45,observation_46,observation_47,observation_48,observation_49,observation_50,observation_51,observation_52,observation_53,observation_54,observation_55,observation_56,observation_57,observation_58,observation_59,observation_60,observation_61,observation_62,observation_63,observation_64,observation_65,observation_66,observation_67,observation_68,observation_69,observation_70,observation_71,observation_72,observation_73,observation_74,observation_75,observation_76,observation_77,observation_78,observation_79,observation_80,observation_81,observation_82,observation_83,observation_84,observation_85
0.320840359,0.312096179,0.30605045,0.23190479,0.230756313,0.121867418,0.133445382,0.132357597,0.121344544,0.317962199,1,0.196638674,0.165770307,0.173748821,0.165270776,0.133193269,0.126143783,0.118356675,0.111386552,0.104880944,0.111073807,0.133718491,0.131788045,0.131663173,0.154229701,0.156337544,0.122600377,0.126953796,0.132259578,0.139402449,0.148403361,0.157196552,0.170793682,0.190525264,0.216676056,0.234187678,0.225126043,0.216937453,0.211003751,0.20663166,0.204668552,0.20412001,0.204537824,0.159244776,0.143165261,0.157268927,0.163734838,0.172140568,0.0735574141,0.0758683607,0.0828571394,0.155321211,0.111428596,0.131038785,0.159579888,0.144873947,0.256470591,0.302387953,0.298870236,0.297983199,0.299075663,0.302927196,0.308702171,0.310756326,0.323155969,0.338590175,0.359593898,0.385635018,0.411699295,0.380980402,0.356694669,0.337889791,0.192754865,-0.0258662701,0.384610116,0.0286584701,0.577399075,0.163506985,0.298500389,0.10081967,0.27715829,0.960824251,0.429976791,-0.112129025,0.684210539,-0.172413796
0.323529422,0.314449102,0.307899177,0.238039196,0.233071893,0.124028943,0.13429974,0.135917351,0.124201678,0.317899197,0.297142863,0.199663892,0.166722685,0.176960766,0.166339874,0.136193961,0.125378147,0.117684409,0.111722693,0.104822598,0.110887066,0.13304621,0.13142857,0.131114617,0.153669477,0.155783743,0.121601306,0.125441179,0.13070029,0.137217566,0.146456584,0.156442598,0.170121416,0.190329179,0.215616286,0.232154548,0.222857147,0.21475257,0.208935589,0.204971999,0.202801138,0.202098519,0.202254921,0.161556855,0.141344532,0.154936984,0.161461264,0.169642881,0.0746778548,0.0733029991,0.0800186768,0.093879573,0.107245587,0.126164839,0.153781563,0.143529415,0.25622797,0.302899182,0.299710572,0.298832893,0.300084084,0.304271758,0.310714304,0.311302543,0.323137283,0.338926286,0.359285742,0.385135442,0.415088683,0.383879542,0.359850585,0.340648919,0.19178085,-0.0189830214,0.381977499,0.0410065576,0.566976249,0.186337858,0.291277766,0.109478123,0.305394232,0.952225983,0.717415512,-0.316142946,0.578947365,-0.172413796
0.327899158,0.318583101,1,0.297489285,0.235592902,1,0.129621863,0.141314194,0.129766554,0.316806763,1,0.198797867,0.269579858,0.251365542,0.167408973,0.139996484,0.129094303,0.120541543,0.113571413,0.105441153,0.106008448,0.133646697,0.131139114,0.130464524,0.152885154,0.15450047,0.124619469,0.123760514,0.128515422,0.134414107,0.142521024,0.152408987,0.164930001,0.180847391,0.206746086,0.231514946,0.223865539,0.215240434,0.208716154,0.204278722,0.201475263,0.200504228,0.200658277,0.198320493,0.139019608,0.144758463,0.15768443,0.16527313,0.174958006,0.0697572306,0.075625591,0.0821008459,0.100522898,0.116914123,0.140882388,0.177310944,0.235546246,1,0.300887048,0.299159676,0.300112069,0.303503782,0.309542507,0.317836165,0.329169035,0.335228801,0.354887992,0.379591554,0.41282928,0.392857134,0.366708666,0.346328199,0.191824481,-0.0128818369,0.380401492,0.0519722998,0.558806062,0.205473587,0.285801232,0.117095977,0.330434442,0.94382894,0.26005432,-0.230308071,0.368421048,-0.103448279
0.334453791,0.323993951,0.316134483,0.307160318,0.236704022,0.235455185,0.129285738,0.142476663,0.13225022,1,0.324575186,0.20168069,0.269075662,1,0.16978991,0.16863437,0.131951436,0.122752093,0.11420168,0.108643785,0.104579836,0.133354351,0.131162465,0.130084038,0.152044818,0.153468728,0.13507463,0.121890768,0.126115784,0.131725043,0.138949588,0.148125604,0.15957053,0.174761951,0.197539732,0.225245133,0.225630254,0.216113448,0.209103644,0.204061627,0.200784326,0.199154988,0.198977605,0.19916667,0.144476965,0.138592437,0.153730169,0.160903379,0.169579849,0.0737815127,0.0710924342,0.0771218613,0.0931466147,0.107831486,0.128487438,0.152817518,0.144743219,0.140093535,0.30227825,0.299960345,0.300084025,0.302063495,0.306699365,0.313739538,0.319757223,0.328216642,0.345084101,0.366830111,0.392436981,0.404698849,0.376661986,0.354530811,0.189925149,-0.00675670197,0.376794606,0.0627797022,0.547294199,0.225422084,0.278433859,0.124261782,0.355145961,0.934810877,0.184202045,-0.0188673753,0.894736826,-0.0344827585
0.340672284,0.329136342,1,0.311519623,0.241027042,0.236468256,0.127352953,0.140966415,0.136507928,0.160840333,0.324757278,0.203361362,0.268739522,0.170420185,0.173146591,0.169327751,0.132549018,0.123088233,0.115546212,0.109871618,0.104556486,0.127076387,0.13133052,0.130039692,0.137675136,0.152605042,0.147936434,0.121176489,0.124873951,0.12954016,0.136092454,0.144509822,0.155219451,0.168949604,0.189808637,0.214656904,0.22714287,0.217642397,0.210060701,0.204278722,0.200616255,0.198314652,0.197815135,0.198265657,0.164126858,0.13756302,0.150793672,0.157217562,0.165266126,0.175725982,0.0683053285,0.0744187757,0.0834453851,0.100487888,0.118529439,0.145319849,0.188459471,0.246974811,0.304052293,0.3010481,0.30005604,0.30204016,0.306031764,0.312962234,0.323043913,0.325985104,0.342633069,0.363807201,0.390382916,0.417415977,0.38688609,0.362836093,0.189694524,-0.0060167294,0.376547933,0.0634785816,0.545798182,0.227650687,0.277333468,0.124558128,0.35614267,0.934431612,0.20118995,-0.018475838,0.894736826,-0.103448279
0.343697488,0.331421584,0.320504218,0.312359959,0.245354727,0.237474352,0.12789917,0.14183709,0.136881396,0.125882357,0.324934691,0.204537824,0.269243717,0.171092451,0.173422039,0.169100165,0.132474318,0.122920156,0.11533612,0.109703541,0.104836598,0.129255995,0.131162465,0.129703552,0.146414667,0.152124181,0.146461174,0.119579844,0.123762846,0.128867894,0.135406181,0.143755853,0.154379115,0.167773128,0.188347384,0.212959915,0.22663866,0.217306256,0.20938842,0.203893572,0.199925303,0.197560698,0.196988806,0.197815135,0.171708599,0.136386558,0.145838082,0.15570496,0.163585454,0.173664823,0.0688888803,0.0726750791,0.0820961967,0.0974043235,0.114663891,0.140032738,0.180233508,1,0.304537833,0.301423937,0.300196081,0.301535994,0.305186778,0.311260521,0.320224106,0.325161099,0.341260552,0.362126529,0.387973905,0.420910388,0.390648931,0.365992099,0.189266995,-0.00167628308,0.37593168,0.0680082068,0.540001869,0.238381639,0.273074299,0.126757517,0.361732155,0.932282031,0.482371539,-0.0515432358,0.789473712,-0.103448279
0.34504202,0.332665741,0.322184891,0.313571453,0.245032623,0.238989264,0.130224109,0.144190028,0.136918753,0.163361341,0.324757278,0.204537824,1,0.172773108,0.172782451,0.169915974,0.131615311,0.122079819,0.114831924,0.108702146,0.104397766,0.131106466,0.130634919,0.129199356,0.146806806,0.151619986,0.141409814,0.11951682,0.123137273,0.128195614,0.134747908,0.143001884,0.153538764,0.166883767,0.187287644,0.211479977,0.225546226,0.216146126,0.208496734,0.202766106,0.198916912,0.196720362,0.195994407,0.196806729,0.179827124,0.135378167,0.143947318,0.154360414,0.162240908,0.172364637,0.0695378035,0.0712255016,0.0790756494,0.0954972133,0.112226911,0.136839449,0.170924395,1,0.305210114,0.301888436,0.300840348,0.301727384,0.30551824,0.311365545,0.320093393,0.327397317,0.338095278,0.357425362,0.382801205,0.4221569,0.391923457,0.367572367,0.190055877,0.00392823759,0.376197577,0.0748615488,0.536817908,0.249027953,0.270840794,0.130658373,0.370062113,0.929006994,0.434757411,-0.0558308996,0.578947365,0
0.348739505,0.336395919,1,0.316764712,0.258958697,0.241169482,0.131050423,0.144663885,0.139906615,0.164033622,0.325088739,0.206554651,0.271428585,0.173277318,0.174323052,0.169411615,0.132212877,0.12258403,0.114831924,0.108921565,0.106218487,0.131029442,0.130298778,0.128650784,0.146078512,0.15077965,0.142385527,0.118781522,0.122352943,0.12656863,0.132885158,0.140903369,0.150700301,0.163641497,0.182441697,0.206339911,0.224369764,0.215473861,0.207422972,0.201638669,0.197422996,0.195121393,0.194271713,0.195011705,0.188417315,0.133151263,0.135480866,0.151358545,0.158935592,0.168711528,0.0717226788,0.0676190555,0.0752007589,0.0917647108,0.105756335,0.12852712,0.163921624,0.142521009,0.291428596,0.303104609,0.301512629,0.30271244,0.306367904,0.312436998,0.321045786,0.324014992,0.339607894,0.359607905,0.38485533,0.420371324,0.398758143,0.372584015,0.187908828,-0.00452772062,0.374660492,0.0670458749,0.529401124,0.263806492,0.265308797,0.133481771,0.378479362,0.925609708,0.327849895,-0.0144946575,0.578947365,-0.103448279
0.350924402,0.338244647,0.327394992,0.318473399,0.260163218,0.242514014,0.132871166,0.146711037,0.140280113,1,0.32643795,0.304033637,0.206050441,0.174621865,0.173944905,0.170763209,0.133482724,0.123256296,0.113991596,0.105568357,0.105835691,0.132701337,0.129794583,0.128146589,0.149411768,0.150263771,0.134229615,0.11783614,0.121195152,0.125781998,0.132044822,0.140144736,0.150177419,0.162801161,0.182142898,0.2058357,0.221512631,0.213608786,0.205522865,0.199838936,0.195742324,0.19344072,0.192633063,0.193162948,0.191204458,0.131785721,0.1338889,0.149834275,0.157254919,0.166739047,0.178692833,0.0659593865,0.0726984218,0.0832575336,0.102394983,0.124325447,0.151055142,0.204930097,0.285966396,0.3036578,0.30218491,0.302784801,0.30619517,0.311974823,0.320298791,0.331227839,0.337437004,0.356255919,0.380709678,0.42034328,0.400602221,0.374766558,0.185066134,-0.00425554579,0.371671975,0.067697376,0.52595377,0.26483053,0.263563126,0.133945942,0.380352378,0.924841642,0.260768533,-0.0276144221,0.368421048,0
0.355798334,0.342647046,1,0.321029425,0.257950336,0.243690476,0.132759109,0.1458707,0.142931819,1,0.327455699,0.299831957,0.208739519,1,0.17344071,0.142857134,0.132549018,0.122441642,0.113445371,0.104932308,0.109337099,0.132037818,0.129122317,0.127518684,0.148907557,0.149759576,0.127439231,0.116953783,0.120569564,0.125224099,0.131372556,0.139304399,0.149187699,0.161743715,0.180695638,0.204003319,0.221260518,0.212464973,0.204565838,0.19878152,0.194565833,0.192350626,0.191288516,0.191818416,0.191475272,0.132499993,0.13229692,0.148141935,0.155406177,0.16459851,0.17667602,0.0676750615,0.0690756291,0.0783391967,0.0990336388,0.119327731,0.145789042,0.197307527,0.290522993,0.304281056,0.302689075,0.303384721,0.306699365,0.312373966,0.320859045,0.332327306,0.338837564,0.356584996,0.380980432,0.406274557,0.409047604,0.380852014,0.181098402,-0.000888021255,0.36650762,0.0740948841,0.508484364,0.272404969,0.254242182,0.136202484,0.394607544,0.918849766,0.289176226,-0.0185835417,1,-0.103448279
